"","cod","transect","tree","common.name","scientific.name","family","dbh","canopy.pos","light","dead","Hcom","Htot","date","utm.east","utm.north","vol","plot.area","total.area"
"1","CAU_A01","T01",2,"macucu","Licania guianensis","Chrysobalanaceae",10.3,"S",2,FALSE,4.59,7.83,20120127,778459.6729,9586871.539,0.24023194,10000,50
"2","CAU_A01","T01",5,"casca seca","Licania canescens","Chrysobalanaceae",14.6,"S",2,FALSE,9.16,10.27,20120127,778444.1712,9586870.399,0.392912133,10000,50
"3","CAU_A01","T01",6,"cajuacu","Anacardium spruceanum","Anacardiaceae",78.8,"E",1,FALSE,21.06,31.65,20120127,778443.5294,9586872.461,2.048092675,10000,50
"4","CAU_A01","T01",7,"breu branco","Protium paniculatum","Burseraceae",14.7,"S",2,FALSE,7.35,11.54,20120127,778443.2246,9586869.534,0.37073915,10000,50
"5","CAU_A01","T01",9,"breu branco","Protium paniculatum","Burseraceae",10.6,"E",3,FALSE,4.9,6.91,20120127,778436.1941,9586869.46,0.250774146,10000,50
"6","CAU_A01","T01",10,"caramuxi","Pouteria hispida","Sapotaceae",27.1,"C",2,FALSE,13.53,19.83,20120127,778433.713,9586868.991,0.73793106,10000,50
"7","CAU_A01","T01",12,"casca seca","Licania canescens","Chrysobalanaceae",15.1,"E",2,FALSE,7.44,12.09,20120127,778427.1563,9586869.342,0.380496324,10000,50
"8","CAU_A01","T01",13,"jatereu","Lecythis idatimon","Lecythidaceae",16.5,"S",2,FALSE,7.61,11.46,20120127,778423.2009,9586868.382,0.412472635,10000,50
"9","CAU_A01","T01",14,"jatereu","Lecythis idatimon","Lecythidaceae",12,"S",1,FALSE,8.41,12.26,20120127,778417.1911,9586868.076,0.325326899,10000,50
"10","CAU_A01","T01",15,"parajuba","Manilkara bidentata","Sapotaceae",38.4,"C",2,FALSE,31.19,32.29,20120127,778412.709,9586867.472,1.258063962,10000,50
"11","CAU_A01","T01",16,"guajara branco","Pouteria sp.","Sapotaceae",48.5,"C",2,FALSE,20.84,31.1,20120127,778413.8796,9586872.463,1.360692796,10000,50
"12","CAU_A01","T01",17,"seringueira","Hevea brasiliensis","Euphorbiaceae",50.3,"E",1,FALSE,24.5,33.43,20120127,778412.6282,9586868.67,1.470136368,10000,50
"13","CAU_A01","T01",18,"guajara branco","Pouteria sp.","Sapotaceae",41.9,"C",2,FALSE,18.7,28.84,20120127,778409.7075,9586867.27,1.166806813,10000,50
"14","CAU_A01","T01",19,"capueiro","Rinorea guianensis","Violaceae",11.4,"S",2,FALSE,7.49,10.57,20120127,778405.6454,9586867.889,0.301377616,10000,50
"15","CAU_A01","T01",20,"casca seca","Licania canescens","Chrysobalanaceae",15,"S",2,FALSE,9.49,14.79,20120127,778351.1777,9586863.316,0.406037262,10000,50
"16","CAU_A01","T01",22,"matamata","Eschweilera amazonica","Lecythidaceae",15.5,"S",1,FALSE,7.07,10.2,20120127,778317.1333,9586861.417,0.38320047,10000,50
"17","CAU_A01","T01",23,"jatereu","Lecythis idatimon","Lecythidaceae",35.2,"C",1,FALSE,20.19,37.54,20120127,778313.4631,9586863.675,1.031258143,10000,50
"18","CAU_A01","T01",24,"guajara branco","Pouteria sp.","Sapotaceae",59.3,"C",1,FALSE,10.17,24.67,20120127,778312.0297,9586862.575,1.307628227,10000,50
"19","CAU_A01","T01",25,"macucu","Licania guianensis","Chrysobalanaceae",11,"S",2,FALSE,6.72,11.57,20120127,778263.0726,9586858.258,0.283456467,10000,50
"20","CAU_A01","T01",27,"abiurana","Pouteria gongrijpii","Sapotaceae",52,"C",2,FALSE,18.97,36.95,20120127,778258.9353,9586859.991,1.403570189,10000,50
"21","CAU_A01","T01",28,"guajara branco","Pouteria sp.","Sapotaceae",52.2,"C",1,FALSE,24.58,33.93,20120127,778256.0011,9586858.791,1.517866527,10000,50
"22","CAU_A01","T01",29,"morta",NA,NA,40.2,NA,NA,TRUE,NA,6.3,20120127,778246.9556,9586856.395,NA,10000,50
"23","CAU_A01","T01",33,"ucurana","Sloanea guianensis","Elaeocarpaceae",40.6,"C",2,FALSE,17.53,26.17,20120127,778215.7159,9586857.659,1.115375428,10000,50
"24","CAU_A01","T01",36,"cajuacu","Anacardium spruceanum","Anacardiaceae",36.1,"C",1,FALSE,16.38,29.42,20120127,778197.2782,9586854.509,0.991327756,10000,50
