UNIDADE_MANEJO;N_PARC;AREA_PARC;IDADE;N_ARV;DAP;H_MED;H_COMERCIAL;QUALIDADE
5;8;500,34;12;1;23,2;;18,7;Torta
5;8;500,34;12;2;22;23,4;;Normal
5;8;500,34;12;3;20; ;;Normal
5;8;500,34;12;4;13;17,3;;Normal
5;8;500,34;12;5;22;23,4;;Normal
5;8;500,34;12;6;23;22,6;;Normal
5;8;500,34;12;7;23,6;;;Normal
5;8;500,34;12;8;19,4;;14,1;Bifurcada acima DAP
5;8;500,34;12;9;11,7;;17;Torta
5;8;500,34;12;10;27;22,7;;Dominante
5;8;500,34;12;11;21,4;;14,5;Bifurcada acima DAP
5;8;500,34;12;12;12,9;;12,9;Torta
5;8;500,34;12;13;25,6;;;Normal
5;8;500,34;12;14;14,9;;;Bifurcada abaixo DAP
5;8;500,34;12;15;17,5;;;Bifurcada abaixo DAP
5;8;500,34;12;16;24,9;;;Normal
5;8;500,34;12;17;20,7;;;Normal
5;8;500,34;12;18;14,5;;16,4;Torta
5;8;500,34;12;19;27,3;;5,2;Torta
5;8;500,34;12;20;;;;Morta
5;8;500,34;12;21;14,1;;10,2;Torta
5;8;500,34;12;22;25,4;;;Normal
5;8;500,34;12;23;18,3;;;Normal
5;8;500,34;12;24;15,5;;;Normal
5;8;500,34;12;25;16,3;;13,9;Bifurcada acima DAP
5;8;500,34;12;26;24,8;;;Normal
5;8;500,34;12;27;23,9;;;Normal
5;8;500,34;12;28;24,5;;;Normal
5;8;500,34;12;29;19,6;;;Normal
5;8;500,34;12;30;21,7;;;Normal
5;8;500,34;12;31;23,5;;;Normal
5;8;500,34;12;32;20,2;;;Normal
5;8;500,34;12;33;15,4;;;Normal
5;8;500,34;12;34;24,8;;9,7;Bifurcada acima DAP
5;8;500,34;12;35;21,3;;;Normal
5;8;500,34;12;36;21,2;;7,2;Bifurcada acima DAP
5;8;500,34;12;37;29;24,3;;Dominante
5;8;500,34;12;38;19,5;;18,5;Bifurcada acima DAP
5;8;500,34;12;39;18,4;;;Normal
5;8;500,34;12;40;22,3;;;Normal
5;8;500,34;12;41;22,4;;;Normal
5;8;500,34;12;42;;;;Morta
5;8;500,34;12;43;20,9;;;Normal
