"plot_id","genus","specie","family","dbh","h"
1,"Prunus","brasiliensis","Rosaceae",15,12
1,"Nectandra","lanceolata","Lauraceae",34,17
1,"Dalbergia","frutescens","Fabaceae",8,17
1,"Myrcia","splendens","Myrtaceae",6,7
1,"Myrcia","splendens","Myrtaceae",7,9
1,"Maytenus","evonymoides","Celastraceae",15,10
1,"Cupania","vernalis","Sapindaceae",11,9
1,"Myrcia","splendens","Myrtaceae",7,11
1,"Gochnatia","polymorpha","Asteraceae",27,12
1,"Cupania","vernalis","Sapindaceae",7,10
1,"Dahlstedtia","floribunda","Fabaceae",18,15
1,"Allophyllus","edulis","Sapindaceae",14,10
1,"Cordyline","spectabilis","Asparagaceae",5,2.5
1,"Nectandra","megapotamica","Lauraceae",13,11
1,"Myrcia","splendens","Myrtaceae",8,9
1,"Cinnamomum","sellowianum","Lauraceae",20,16
1,"Cinnamomum","sellowianum","Lauraceae",30,17
1,"Matayba","elaeagnoides","Sapindaceae",11,10.5
2,"Campomanesia","xanthocarpa","Myrtaceae",17,15.5
2,"Myrcia","splendens","Myrtaceae",5,6
2,"Dahlstedtia","floribunda","Fabaceae",12,10
2,"Dahlstedtia","floribunda","Fabaceae",7,6.5
2,"Matayba","elaeagnoides","Sapindaceae",18,8.5
2,"Cabralea","canjerana","Meliaceae",5,6.5
2,"Myrcia","splendens","Myrtaceae",5,7
2,"Nectandra","lanceolata","Lauraceae",39,17
2,"Casearia","sylvestris","Salicaceae",10,9
2,"Prunus","brasiliensis","Rosaceae",42,17
2,"Luehea","divaricata","Malvaceae",12,8.5
2,"Nectandra","lanceolata","Lauraceae",48,20
2,"Matayba","elaeagnoides","Sapindaceae",12,10
2,"Prunus","brasiliensis","Rosaceae",37,17
2,"Prunus","brasiliensis","Rosaceae",19,12
2,"Ocotea","silvestris","Lauraceae",8,8.5
2,"Matayba","elaeagnoides","Sapindaceae",21,15
2,"Matayba","elaeagnoides","Sapindaceae",28,17.5
2,"Allophyllus","petiolulatus","Sapindaceae",28,11.5
2,"Cordyline","spectabilis","Asparagaceae",6,2.5
2,"Matayba","elaeagnoides","Sapindaceae",40,17
2,"Cordyline","spectabilis","Asparagaceae",6,3.5
2,"Cordyline","spectabilis","Asparagaceae",7,3.5
2,"Casearia","sylvestris","Salicaceae",8,6.5
3,"Nectandra","lanceolata","Lauraceae",18,16
3,"Nectandra","lanceolata","Lauraceae",14,15
3,"Casearia","sylvestris","Salicaceae",13,11.5
3,"Ilex","brevicuspis","Aquifoliaceae",38,17
3,"Mollinedia","clavigera","Monimiaceae",6,5
3,"Myrcia","splendens","Myrtaceae",16,15
3,"Myrcia","splendens","Myrtaceae",20,15.5
3,"Ilex","brevicuspis","Aquifoliaceae",21,15
3,"Cupania","vernalis","Sapindaceae",22,15
3,"Cupania","vernalis","Sapindaceae",33,18
3,"Myrcia","splendens","Myrtaceae",16,15.5
3,"Jacaranda","puberula","Bignoniaceae",16,16
3,"Casearia","sylvestris","Salicaceae",8,8.5
3,"Cupania","vernalis","Sapindaceae",10,10
3,"Mollinedia","clavigera","Monimiaceae",6,5.5
3,"Matayba","elaeagnoides","Sapindaceae",9,11
3,"Matayba","elaeagnoides","Sapindaceae",16,12
3,"Matayba","elaeagnoides","Sapindaceae",11,11.5
3,"Casearia","sylvestris","Salicaceae",10,9
3,"Cupania","vernalis","Sapindaceae",10,9
3,"Matayba","elaeagnoides","Sapindaceae",11,15
3,"Prunus","brasiliensis","Rosaceae",22,15
3,"Maytenus","evonymoides","Celastraceae",7,8.5
3,"Myrcia","splendens","Myrtaceae",14,11
4,"Prunus","brasiliensis","Rosaceae",30,18
4,"Sapium","glandulatum","Euphorbiaceae",18,13
4,"Mollinedia","clavigera","Monimiaceae",5,5
4,"Casearia","sylvestris","Salicaceae",5,4.5
4,"Casearia","sylvestris","Salicaceae",13,9
4,"Nectandra","lanceolata","Lauraceae",27,17
4,"Campomanesia","xanthocarpa","Myrtaceae",22,16
4,"Campomanesia","xanthocarpa","Myrtaceae",17,15.5
4,"Myrcia","splendens","Myrtaceae",5,5.5
4,"Myrsine","umbellata","Primulaceae",5,5
4,"Cupania","vernalis","Sapindaceae",6,9
4,"Myrcia","splendens","Myrtaceae",15,15
4,"Nectandra","lanceolata","Lauraceae",15,15
4,"Cupania","vernalis","Sapindaceae",17,12
4,"Cupania","vernalis","Sapindaceae",12,12
4,"Myrcia","splendens","Myrtaceae",11,11
4,"Alsophila","setosa","Cyatheacaceae",15,2
4,"Alsophila","setosa","Cyatheacaceae",14,2
4,"Nectandra","lanceolata","Lauraceae",33,17
4,"Maytenus","evonymoides","Celastraceae",10,10
4,"Ilex","theizans","Aquifoliaceae",7,6
4,"Dalbergia","frutescens","Fabaceae",5,17
5,"Cupania","vernalis","Sapindaceae",7,7
5,"Mollinedia","clavigera","Monimiaceae",7,5.5
5,"Myrcia","splendens","Myrtaceae",8,7
5,"Cupania","vernalis","Sapindaceae",10,7.5
5,"Ilex","brevicuspis","Aquifoliaceae",29,17
5,"Ilex","brevicuspis","Aquifoliaceae",21,16
5,"Allophyllus","edulis","Sapindaceae",5,6
5,"Lithraea","brasiliensis","Anacardiaceae",21,16
5,"Myrcia","splendens","Myrtaceae",30,17
5,"Myrcia","splendens","Myrtaceae",20,15
5,"Myrcia","splendens","Myrtaceae",12,9.5
5,"Cordyline","spectabilis","Asparagaceae",6,4.5
5,"Casearia","decandra","Salicaceae",10,8
5,"Cordyline","spectabilis","Asparagaceae",9,4
5,"Maytenus","evonymoides","Celastraceae",6,7
5,"Cupania","vernalis","Sapindaceae",12,10
5,"Allophyllus","edulis","Sapindaceae",6,7
5,"Mollinedia","clavigera","Monimiaceae",5,4.5
5,"Ilex","brevicuspis","Aquifoliaceae",11,12
5,"Ilex","brevicuspis","Aquifoliaceae",19,15
5,"Ilex","brevicuspis","Aquifoliaceae",21,15.5
5,"Ilex","brevicuspis","Aquifoliaceae",22,15
5,"Myrcia","splendens","Myrtaceae",10,8.5
5,"Cordyline","spectabilis","Asparagaceae",11,6
5,"Casearia","decandra","Salicaceae",11,8.5
5,"Campomanesia","xanthocarpa","Myrtaceae",13,12
5,"Myrcia","splendens","Myrtaceae",7,10
5,"Cordyline","spectabilis","Asparagaceae",7,4
5,"Clethra","scabra","Clethraceae",10,9
6,"Prunus","brasiliensis","Rosaceae",13,15.5
6,"Myrcia","splendens","Myrtaceae",14,11
6,"Myrcia","splendens","Myrtaceae",10,8
6,"Myrcia","splendens","Myrtaceae",8,8
6,"Araucaria","angustifolia","Araucariaceae",48,24
6,"Erythroxyllum","deciduum","Erythroxyllaceae",12,8
6,"Cupania","vernalis","Sapindaceae",11,9
6,"Casearia","obliqua","Salicaceae",17,15.5
6,"Myrcia","splendens","Myrtaceae",9,7.5
6,"Cinnamomum","amoenum","Lauraceae",9,7.5
6,"Myrcia","splendens","Myrtaceae",5,5
6,"Matayba","elaeagnoides","Sapindaceae",8,7
6,"Mollinedia","clavigera","Monimiaceae",6,6
6,"Campomanesia","xanthocarpa","Myrtaceae",13,15
6,"Allophyllus","edulis","Sapindaceae",6,6
6,"Ocotea","puberula","Lauraceae",29,20
6,"Myrcia","splendens","Myrtaceae",14,16
6,"Cupania","vernalis","Sapindaceae",9,6
6,"Myrcia","splendens","Myrtaceae",6,7.5
6,"Myrcia","splendens","Myrtaceae",5,5
6,"Cordyline","spectabilis","Asparagaceae",5,1.5
6,"Myrcia","splendens","Myrtaceae",7,8
6,"Myrcia","splendens","Myrtaceae",5,7.5
6,"Myrcia","splendens","Myrtaceae",6,6
6,"Allophyllus","edulis","Sapindaceae",9,9.5
6,"Myrsine","umbellata","Primulaceae",13,8
6,"Mollinedia","clavigera","Monimiaceae",9,6
6,"Cupania","vernalis","Sapindaceae",7,7.5
6,"Dahlstedtia","floribunda","Fabaceae",6,6
6,"Dahlstedtia","floribunda","Fabaceae",6,5.5
7,"Cupania","vernalis","Sapindaceae",5,5
7,"Allophyllus","edulis","Sapindaceae",9,11
7,"Ilex","dumosa","Aquifoliaceae",9,7.5
7,"Myrcia","splendens","Myrtaceae",13,11.5
7,"Casearia","sylvestris","Salicaceae",13,12
7,"Lithraea","brasiliensis","Anacardiaceae",17,15.5
8,"Myrcia","splendens","Myrtaceae",22,15
8,"Myrsine","umbellata","Primulaceae",13,7.5
8,"Casearia","sylvestris","Salicaceae",11,7.5
8,"Casearia","sylvestris","Salicaceae",5,5
8,"Cupania","vernalis","Sapindaceae",5,5.5
8,"Myrcia","splendens","Myrtaceae",13,12
8,"Casearia","sylvestris","Salicaceae",8,4
8,"Aureliana","fasciculata","Solanaceae",9,10.5
8,"Myrcia","splendens","Myrtaceae",14,12
8,"Casearia","sylvestris","Salicaceae",13,12
8,"Cinnamomum","sellowianum","Lauraceae",18,16
8,"Myrcia","splendens","Myrtaceae",22,16
8,"Myrcia","splendens","Myrtaceae",13,15
8,"Myrcia","splendens","Myrtaceae",16,5
8,"Myrcia","splendens","Myrtaceae",17,13
8,"Myrcia","splendens","Myrtaceae",21,13.5
8,"Casearia","sylvestris","Salicaceae",10,10.5
8,"Ilex","theizans","Aquifoliaceae",12,13
9,"Piptocarpha","axilaris","Asteraceae",12,15
9,"Ocotea","porosa","Lauraceae",14,12
9,"Casearia","obliqua","Salicaceae",5,7.5
9,"Casearia","sylvestris","Salicaceae",13,10
9,"Prunus","brasiliensis","Rosaceae",11,10.5
9,"Matayba","elaeagnoides","Sapindaceae",23,13
9,"Piptocarpha","axilaris","Asteraceae",25,17
9,"Matayba","elaeagnoides","Sapindaceae",25,17
9,"Matayba","elaeagnoides","Sapindaceae",12,15
9,"Matayba","elaeagnoides","Sapindaceae",14,15
9,"Casearia","sylvestris","Salicaceae",10,12
9,"Casearia","obliqua","Salicaceae",10,10.5
9,"Matayba","elaeagnoides","Sapindaceae",21,15
9,"Prunus","brasiliensis","Rosaceae",26,17
9,"Cupania","vernalis","Sapindaceae",6,8
9,"Cupania","vernalis","Sapindaceae",11,10
9,"Cupania","vernalis","Sapindaceae",16,12
9,"Casearia","sylvestris","Salicaceae",23,17
10,"Prunus","brasiliensis","Rosaceae",19,15
10,"Syagrus","romanzoffiana","Arecaceae",25,11
10,"Myrcia","splendens","Myrtaceae",16,15
10,"Prunus","brasiliensis","Rosaceae",18,15
10,"Cyathea","corcovadensis","Cyatheacaceae",19,2
10,"Prunus","brasiliensis","Rosaceae",24,17
10,"Ilex","paraguariensis","Aquifoliaceae",5,3.5
10,"Piptocarpha","axilaris","Asteraceae",20,17
10,"Prunus","brasiliensis","Rosaceae",18,15
10,"Casearia","sylvestris","Salicaceae",8,6.5
10,"Casearia","obliqua","Salicaceae",12,10.5
10,"Cupania","vernalis","Sapindaceae",6,7.5
10,"Cupania","vernalis","Sapindaceae",7,9.5
10,"Myrcia","splendens","Myrtaceae",6,6
10,"Casearia","obliqua","Salicaceae",10,9.5
10,"Casearia","sylvestris","Salicaceae",6,7
10,"Casearia","obliqua","Salicaceae",5,8
10,"Casearia","sylvestris","Salicaceae",14,11
10,"Ilex","paraguariensis","Aquifoliaceae",8,4.5
10,"Casearia","sylvestris","Salicaceae",5,5.5
10,"Ilex","theizans","Aquifoliaceae",10,11.5
10,"Campomanesia","xanthocarpa","Myrtaceae",22,16
10,"Casearia","sylvestris","Salicaceae",13,12
10,"Jacaranda","puberula","Bignoniaceae",11,9
10,"Cupania","vernalis","Sapindaceae",28,17.5
