plot;tree;dbh;h;family;specie
1;1;13,52817016;5;Dilleniaceae;Curatella americana
1;2;5,570423008;3,5;Annonaceae;Annona coriacea
1;3;5,092958179;4;Lauraceae;Ocotea minarum
1;4;5,252113122;4;Lauraceae;Ocotea minarum
1;5;11,77746579;4;Ebenaceae;Diospyros hispida
1;6;7,957747155;5,5;Fabaceae;Copaifera langsdorfii
1;7;8,912676813;4,5;Sapindaceae;Matayba elaegnoides
1;8;5,888732894;3,5;Ebenaceae;Diospyros hispida
1;9;8,75352187;4,5;Ebenaceae;Diospyros hispida
1;10;4,774648293;2,5;Melastomataceae;Miconia sp1
1;11;16,39295914;6,5;Sapotaceae;Pouteria torta
1;11;12,89155039;6,5;Sapotaceae;Pouteria torta
1;12;6,525352667;4;Lauraceae;Ocotea minarum
1;13;9,549296586;3,5;Melastomataceae;Miconia sp1
1;13;8,116902098;3,5;Melastomataceae;Miconia sp1
1;13;7,387972458;3,5;Melastomataceae;Miconia sp1
2;14;4,774648293;2,5;Dilleniaceae;Curatella americana
2;15;7,480282325;5;Malpighiaceae;Byrsonima verbascifolia
2;16;17,02957891;6;Sapotaceae;Pouteria torta
2;17;15,59718442;8;Dilleniaceae;Curatella americana
2;18;10,66338119;6;Sapotaceae;Pouteria torta
2;19;10,98169107;5;Dilleniaceae;Curatella americana
2;20;7,161972439;5;Lauraceae;Ocotea minarum
2;21;5,411268065;4,5;Annonaceae;Annona coriacea
2;22;10,18591636;5;Rubiaceae;Alibertia edulis
2;22;7,161972439;5;Rubiaceae;Alibertia edulis
2;23;14,96056465;5;Sapotaceae;Pouteria torta
2;24;10,82253613;3;Sapotaceae;Pouteria torta
2;25;9,071831756;2,5;Melastomataceae;Miconia sp1
2;26;6,366197724;3;Lauraceae;Ocotea minarum
2;27;7,321127382;3,5;Vochysiaceae;Qualea grandiflora
3;28;9,390141642;3;Annonaceae;Annona coriacea
3;29;6,68450761;2,5;Fabaceae;Leptolobium elegans
3;30;24,50986124;9;Dilleniaceae;Curatella americana
3;31;7,957747155;2,5;Myrtaceae;Myrcia sp1
3;32;14,64225476;6;Dilleniaceae;Curatella americana
3;32;7,798592212;5;Dilleniaceae;Curatella americana
3;33;17,50704374;8;Vochysiaceae;Qualea grandiflora
3;35;7,639437268;3,5;Melastomataceae;Miconia sp1
3;36;5,888732894;3,5;Melastomataceae;Miconia sp1
3;36;4,822394776;3,5;Melastomataceae;Miconia sp1
3;37;6,366197724;3,5;Melastomataceae;Miconia sp1
3;38;4,774648293;4;Combretaceae;Terminalia argentea
3;39;14,64225476;7;Indeterminada;Indeterminada 2
3;40;10,66338119;4;Ebenaceae;Diospyros hispida
3;41;16,87042397;8;Dilleniaceae;Curatella americana
3;41;5,888732894;6;Dilleniaceae;Curatella americana
3;42;10,02676141;3,5;Ebenaceae;Diospyros hispida
3;43;22,91831181;8;Dilleniaceae;Curatella americana
3;44;10,82253613;5;Sapotaceae;Pouteria torta
4;45;13,05070533;4,5;Sapotaceae;Pouteria torta
4;46;6,68450761;2,5;Connaraceae;Connarus suberosus
4;47;6,366197724;2,5;Ebenaceae;Diospyros hispida
4;48;7,002817496;5;Annonaceae;Xylopia aromatica
4;49;7,002817496;2,5;Melastomataceae;Miconia sp1
4;49;6,366197724;2,5;Melastomataceae;Miconia sp1
4;49;5,729577951;2,5;Melastomataceae;Miconia sp1
4;49;5,411268065;2,5;Melastomataceae;Miconia sp1
4;50;5,729577951;2,5;Myrtaceae;Psidium laruotteanum
4;51;10,50422624;3;Fabaceae;Andira cuiabensis
4;52;9,230986699;4,5;Dilleniaceae;Curatella americana
